normalized_name,clean,staff_evidence,marker,initial_label,label_artifact,n_transcripts,subst_appearances,total_guest_words,first_date,last_date,span_days,n_dates,n_programs,npr_share,wiki_status,generic_name_flag,honorifics,example_transcript_ids
Rupert Murdoch,True,no,,False,False,75,3,5283,2011-07-23,2019-07-11,2910.0,21,18,0.05333333333333334,unchecked,0,,NPR-18480;NPR-28814;NPR-31747;NPR-47638;CNN-105979
Tzemach Lemmon,True,no,,False,False,19,4,5255,2015-11-24,2020-02-28,1557.0,18,4,0.0,unchecked,0,,CNN-203211;CNN-269732;CNN-277608;CNN-279665;CNN-283084
Von Furstenberg,True,no,,False,False,9,6,5224,2014-06-24,2018-01-18,1304.0,7,6,0.0,unchecked,0,,CNN-152670;CNN-189403;CNN-233245;CNN-245260;CNN-280837
Deborah Lipstadt,True,no,,False,False,13,6,5201,2011-05-18,2019-12-30,3148.0,11,6,0.46153846153846156,unchecked,0,DR;PROF;PROFESSOR,NPR-1930;NPR-2698;NPR-7207;NPR-20092;NPR-47396
Van Nieuwenhuise,True,no,,False,False,12,6,5194,,,,0,7,0.0,unchecked,0,,CNN-151799;CNN-151813;CNN-152468;CNN-153133;CNN-153222
Kareem Abdul-Jabbar,True,no,,False,False,53,3,5183,2006-12-16,2020-07-23,4968.0,38,19,0.05660377358490566,unchecked,0,MR,NPR-11269;NPR-18745;NPR-26979;CNN-9685;CNN-144924
Sarah Chayes,True,no,,False,False,6,5,5146,2010-06-28,2019-10-03,3384.0,5,5,0.8333333333333334,unchecked,0,MS,NPR-446;NPR-969;NPR-8388;NPR-26149;NPR-44410
George Miller,True,no,,False,False,52,4,5142,2005-07-22,2016-05-23,3958.0,17,22,0.2692307692307692,unchecked,1,CONGRESSMAN;DR;REP;REPRESENTATIVE,NPR-1228;NPR-3739;NPR-4303;NPR-5294;NPR-7653
Ed Rogers,True,no,,False,False,26,4,5106,2007-02-26,2016-08-10,3453.0,11,15,0.2692307692307692,unchecked,0,MR,NPR-2674;NPR-12512;NPR-16493;NPR-24514;NPR-27056
Jonathan Chait,True,no,,False,False,17,5,5093,2006-01-03,2019-08-27,4984.0,14,11,0.4117647058823529,unchecked,0,,NPR-432;NPR-1401;NPR-10648;NPR-14879;NPR-23312
Stephen Cohen,True,no,,False,False,48,3,5092,2003-10-15,2017-07-07,5014.0,21,26,0.125,unchecked,0,DR;MR;PROF;REP,NPR-13767;NPR-17720;NPR-38046;NPR-38144;NPR-41653
Daniel Yergin,True,no,,False,False,28,5,5038,2001-11-14,2020-10-09,6904.0,16,14,0.42857142857142855,unchecked,0,DR;MR,NPR-6534;NPR-11156;NPR-25691;NPR-34619;NPR-36212
Leonard Pitts,True,no,,False,False,9,4,5034,2010-06-21,2020-05-07,3608.0,5,3,0.4444444444444444,unchecked,0,MR,NPR-4773;NPR-9788;NPR-12678;NPR-44486;CNN-129065
Simon Johnson,True,no,,False,False,28,6,5015,2008-09-26,2019-11-01,4053.0,23,9,0.7857142857142857,unchecked,0,DR;MR;PROFESSOR,NPR-6705;NPR-12139;NPR-12291;NPR-15502;NPR-16086
Ray Takeyh,True,no,,False,False,20,4,5009,2006-09-14,2012-06-20,2106.0,8,11,0.25,unchecked,0,MR,NPR-858;NPR-3478;NPR-10712;NPR-33331;NPR-41875
Isabella Rossellini,True,no,,False,False,3,3,4999,2003-12-13,2010-12-10,2554.0,2,2,0.3333333333333333,unchecked,0,MS,NPR-3345;CNN-79866;CNN-80156
Richard Cohen,True,no,,False,False,43,3,4994,2006-04-17,2018-10-30,4579.0,20,25,0.18604651162790697,unchecked,0,DR;MR;PROFESSOR,NPR-9659;NPR-11115;NPR-13695;NPR-17618;NPR-21655
Benjamin Wittes,True,no,,False,False,35,7,4993,2008-07-01,2018-02-05,3506.0,35,13,0.22857142857142856,unchecked,0,MR,NPR-5712;NPR-7164;NPR-12384;NPR-19068;NPR-19635
Soner Cagaptay,True,no,,False,False,37,4,4992,2006-05-04,2019-10-20,4917.0,35,9,0.21621621621621623,unchecked,0,MR,NPR-7677;NPR-19304;NPR-21594;NPR-23881;NPR-24314
Joseph Stiglitz,True,no,,False,False,29,4,4983,2001-10-10,2020-09-25,6925.0,19,13,0.20689655172413793,unchecked,0,DR;PROF;PROFESSOR,NPR-6126;NPR-6171;NPR-8647;NPR-19016;NPR-37840
Steve Clemons,True,no,,False,False,16,3,4834,2006-12-17,2011-08-22,1709.0,7,10,0.375,unchecked,0,MR,NPR-1488;NPR-4178;NPR-33798;NPR-34191;NPR-48224
Rashid Khalidi,True,no,,False,False,14,4,4797,2006-01-27,2019-03-21,4801.0,6,8,0.35714285714285715,unchecked,0,MR;PROFESSOR,NPR-1329;NPR-18248;NPR-30445;NPR-37911;NPR-42946
Ian Tattersall,True,no,,False,False,4,3,4767,2009-10-02,2012-04-06,917.0,3,2,0.75,unchecked,0,DR,NPR-12531;NPR-45277;NPR-46481;CNN-57471
Justin Wolfers,True,no,,False,False,13,4,4750,2006-04-28,2020-09-05,5244.0,12,6,0.6153846153846154,unchecked,0,DR;PROF;PROFESSOR,NPR-45;NPR-3993;NPR-20090;NPR-21245;NPR-29669
Karen Narasaki,True,no,,False,False,9,8,4710,2005-08-08,2006-02-15,191.0,8,2,0.8888888888888888,unchecked,0,MS,NPR-5197;NPR-45680;NPR-46127;NPR-46475;NPR-46540
Stephen Carter,True,no,,False,False,9,6,4704,2009-07-09,2017-05-20,2872.0,7,5,0.7777777777777778,unchecked,1,PROFESSOR,NPR-2428;NPR-11450;NPR-11573;NPR-11689;NPR-11994
Peter Leone,True,no,,False,False,3,3,4694,2011-04-15,2011-07-15,91.0,3,1,1.0,unchecked,0,DR,NPR-1641;NPR-1872;NPR-2235
Jorge Castaneda,True,no,,False,False,33,3,4665,2000-11-30,2019-07-09,6795.0,19,15,0.12121212121212122,unchecked,0,,NPR-10826;NPR-12422;NPR-16968;NPR-31343;CNN-11249
Katie Packer,True,no,,False,False,34,3,4641,2015-07-01,2016-12-01,519.0,34,11,0.08823529411764706,unchecked,0,,NPR-17684;NPR-22627;NPR-23680;CNN-258626;CNN-261501
De Leon,True,no,,False,False,20,3,4620,2016-08-07,2018-03-11,581.0,14,7,0.0,unchecked,0,,CNN-7674;CNN-94920;CNN-94925;CNN-104014;CNN-107222
Atul Gawande,True,no,,False,False,10,5,4618,2007-05-02,2020-05-18,4765.0,9,7,0.5,unchecked,0,DR,NPR-5030;NPR-8129;NPR-15443;NPR-17626;NPR-37254
Andy Beyer,True,no,,False,False,4,4,4613,2006-05-17,2012-06-07,2213.0,4,1,1.0,unchecked,0,MR,NPR-3676;NPR-10825;NPR-18209;NPR-18221
Robert Pape,True,no,,False,False,10,3,4607,2005-07-19,2017-11-04,4491.0,7,8,0.3,unchecked,0,DR;MR;PROFESSOR,NPR-17533;NPR-40820;NPR-47404;CNN-96190;CNN-96195
David Leonhardt,True,no,,False,False,8,5,4593,2008-10-25,2019-01-06,3725.0,6,6,0.625,unchecked,0,MR,NPR-1256;NPR-12379;NPR-38512;NPR-44924;NPR-49111
Paul Theroux,True,no,,False,False,3,3,4573,2008-08-18,2018-08-12,3646.0,3,3,1.0,unchecked,0,MR,NPR-13359;NPR-44511;NPR-47367
Stuart Firestein,True,no,,False,False,4,3,4565,2010-03-19,2012-06-01,805.0,3,2,0.75,unchecked,0,DR;PROFESSOR,NPR-6665;NPR-10892;NPR-45349;CNN-3815
Alexis Madrigal,True,no,,False,False,8,4,4563,2010-09-20,2014-08-29,1439.0,8,4,0.75,unchecked,0,MR,NPR-1799;NPR-2173;NPR-29362;NPR-30383;NPR-31332
Lisa Croslin,True,no,,False,False,37,5,4552,2009-10-14,2009-10-16,2.0,3,2,0.0,unchecked,0,,CNN-135811;CNN-142818;CNN-143293;CNN-143327;CNN-143975
Bailey White,True,no,,False,False,3,3,4527,2008-11-27,2012-11-22,1456.0,3,1,1.0,unchecked,0,MS,NPR-5925;NPR-30426;NPR-34335
Gillian Tett,True,no,,False,False,35,3,4513,2010-11-22,2019-02-04,2996.0,29,8,0.08571428571428572,unchecked,0,,NPR-11861;NPR-24115;NPR-32832;CNN-150529;CNN-153550
Bruce Hoffman,True,no,,False,False,43,5,4492,2000-10-20,2019-04-24,6760.0,19,20,0.3953488372093023,unchecked,0,DR;MR;PROFESSOR,NPR-441;NPR-5631;NPR-11345;NPR-17351;NPR-20904
Rocco Palmo,True,no,,False,False,6,5,4490,2010-04-06,2015-02-15,1776.0,6,3,1.0,unchecked,0,MR,NPR-842;NPR-3135;NPR-9521;NPR-25521;NPR-28091
Tarek Masoud,True,no,,False,False,11,3,4483,2011-12-11,2019-03-21,2657.0,7,5,0.2727272727272727,unchecked,0,,NPR-10720;NPR-10910;NPR-12430;CNN-161712;CNN-177490
Quinn Gray,True,no,,False,False,5,5,4473,2009-11-10,2009-11-27,17.0,4,1,0.0,unchecked,0,,CNN-144900;CNN-144943;CNN-145433;CNN-145496;CNN-145520
Steven Pifer,True,no,,False,False,44,4,4463,2011-11-23,2019-11-12,2911.0,36,13,0.20454545454545456,unchecked,0,,NPR-9713;NPR-22284;NPR-22611;NPR-24433;NPR-25402
Von Einsiedel,True,no,,False,False,5,3,4417,2016-10-22,2019-12-25,1159.0,4,2,0.0,unchecked,0,,CNN-228945;CNN-296635;CNN-300407;CNN-381362;CNN-388758
Rebecca Traister,True,no,,False,False,15,4,4346,2010-10-12,2020-02-14,3412.0,13,10,0.3333333333333333,unchecked,0,,NPR-1633;NPR-3851;NPR-8315;NPR-11324;NPR-22912
Alicia Shepard,True,no,,False,False,6,5,4335,2009-07-02,2013-12-22,1634.0,6,2,0.8333333333333334,unchecked,0,,NPR-3848;NPR-5063;NPR-45897;NPR-46064;NPR-46862
Sherrilyn Ifill,True,no,,False,False,12,3,4331,2007-03-07,2016-12-08,3564.0,8,7,0.5,unchecked,0,PROF;PROFESSOR,NPR-481;NPR-2141;NPR-5600;NPR-25640;NPR-30017
Laurie Garrett,True,no,,False,False,48,3,4312,2000-10-19,2020-05-07,7140.0,24,24,0.08333333333333333,unchecked,0,MS,NPR-12043;NPR-13400;NPR-16368;NPR-37081;CNN-11973
Leslie Gelb,True,no,,False,False,20,6,4293,2003-12-12,2011-06-14,2741.0,14,14,0.45,unchecked,0,DR;MR,NPR-3986;NPR-14970;NPR-19452;NPR-33033;NPR-33084
Alphonso Jackson,True,no,,False,False,18,3,4290,2003-12-12,2008-03-31,1571.0,8,9,0.2222222222222222,unchecked,0,MR;SECRETARY,NPR-2153;NPR-40488;NPR-45159;NPR-45982;CNN-80135
Laurie Levenson,True,no,,False,False,39,3,4283,2000-11-20,2019-08-11,6838.0,13,24,0.23076923076923078,unchecked,0,MS;PROF;PROFESSOR,NPR-2485;NPR-7815;NPR-14263;NPR-17457;NPR-22181
Michael Beschloss,True,no,,False,False,24,4,4280,2000-10-10,2018-12-18,6643.0,16,10,0.20833333333333334,unchecked,0,,NPR-4596;NPR-6764;NPR-16261;NPR-25192;NPR-48529
Dru Ealons,True,no,,False,False,9,9,4228,2015-11-07,2019-08-17,1379.0,9,1,1.0,unchecked,0,,NPR-9236;NPR-9687;NPR-14283;NPR-20468;NPR-22016
Debra Dickerson,True,no,,False,False,7,5,4227,2000-12-15,2005-12-30,1841.0,6,3,0.7142857142857143,unchecked,0,MS,NPR-46153;NPR-47252;NPR-47828;NPR-47983;NPR-48230
Holmes Norton,True,no,,False,False,9,6,4221,2000-12-10,2019-05-07,6722.0,7,6,0.0,unchecked,0,,CNN-21450;CNN-40888;CNN-194005;CNN-209527;CNN-350459
Del Barco,True,no,,False,False,13,7,4218,2005-05-16,2006-08-15,456.0,13,4,1.0,unchecked,0,,NPR-14263;NPR-38100;NPR-38407;NPR-39038;NPR-40011
Del Granado,True,no,,False,False,20,4,4202,,,,0,4,0.0,unchecked,0,,CNN-1327;CNN-4328;CNN-4329;CNN-5247;CNN-7620
Douglas Kmiec,True,no,,False,False,18,7,4185,2000-11-30,2008-03-25,2672.0,13,10,0.4444444444444444,unchecked,0,DEAN;DR;PROF;PROFESSOR,NPR-1224;NPR-6621;NPR-13408;NPR-15338;NPR-39126
John Green,True,no,,False,False,38,3,4185,2004-11-22,2018-02-12,4830.0,19,16,0.2631578947368421,unchecked,1,DR;MR;PROFESSOR,NPR-494;NPR-3862;NPR-6030;NPR-21660;NPR-22778
Philip Gordon,True,no,,False,False,21,5,4183,2000-10-10,2019-11-17,6977.0,15,12,0.42857142857142855,unchecked,0,MAYOR,NPR-5160;NPR-5768;NPR-9410;NPR-11834;NPR-17851
Deborah Mathis,True,no,,False,False,11,8,4155,2005-05-04,2006-07-24,446.0,9,3,0.8181818181818182,unchecked,0,MS;PROFESSOR,NPR-4554;NPR-4791;NPR-5129;NPR-7394;NPR-44456
Russell Moore,True,no,,False,False,30,4,4119,2013-12-18,2020-05-31,2356.0,26,13,0.23333333333333334,unchecked,0,,NPR-127;NPR-386;NPR-11699;NPR-14939;NPR-19994
Diane Brady,True,no,,False,False,31,4,4087,2003-11-15,2010-12-28,2600.0,14,8,0.12903225806451613,unchecked,0,MS,NPR-34093;NPR-36182;NPR-38901;NPR-38910;CNN-53670
Alissa Rubin,True,no,,False,False,9,8,4072,2005-07-27,2014-08-10,3301.0,8,5,0.8888888888888888,unchecked,0,MS,NPR-4122;NPR-14804;NPR-16072;NPR-16383;NPR-26562
Nate Silver,True,no,,False,False,24,5,4052,2010-09-18,2019-02-02,3059.0,13,13,0.2916666666666667,unchecked,0,MR,NPR-11922;NPR-13530;NPR-25444;NPR-26112;NPR-31685
Ronald Cummings,True,no,,False,False,93,3,4031,2009-10-12,2010-12-27,441.0,6,2,0.0,unchecked,0,,CNN-134936;CNN-134969;CNN-134971;CNN-135005;CNN-135131
Chris Buskirk,True,no,,False,False,6,6,4004,2016-10-25,2018-12-12,778.0,6,1,1.0,unchecked,0,,NPR-6256;NPR-16713;NPR-17895;NPR-18133;NPR-47691
John Cox,True,no,,False,False,16,3,3997,2011-05-31,2018-06-06,2563.0,6,7,0.25,unchecked,1,CAPT;CAPTAIN;MR,NPR-1877;NPR-12077;NPR-12642;NPR-25456;CNN-135009
Al Hussein,True,no,,False,False,8,5,3991,2015-06-01,2019-12-12,1655.0,6,5,0.0,unchecked,0,PRINCE,CNN-64920;CNN-69222;CNN-256431;CNN-296973;CNN-297144
Le Pen,True,no,,False,False,22,3,3987,2015-11-19,2017-05-05,533.0,19,7,0.0,unchecked,0,,CNN-52954;CNN-182600;CNN-231207;CNN-269450;CNN-292897
Robin Givhan,True,no,,False,False,16,5,3986,2009-11-25,2019-09-11,3577.0,10,11,0.375,unchecked,0,,NPR-884;NPR-3123;NPR-7017;NPR-8140;NPR-8739
Shawn Otto,True,no,,False,False,3,3,3977,2011-10-14,2012-07-27,287.0,3,1,1.0,unchecked,0,,NPR-1152;NPR-10424;NPR-11135
De Niro,True,no,,False,False,31,6,3952,2000-10-26,2020-04-17,7113.0,18,13,0.03225806451612903,unchecked,0,,NPR-26629;CNN-11029;CNN-11121;CNN-17248;CNN-17388
Ruy Teixeira,True,no,,False,False,9,4,3951,2002-11-29,2018-04-13,5614.0,8,5,0.7777777777777778,unchecked,0,MR,NPR-2240;NPR-10723;NPR-13548;NPR-27094;NPR-45489
Alvin Poussaint,True,no,,False,False,16,5,3950,2002-10-26,2014-10-26,4383.0,7,10,0.3125,unchecked,0,DR;MR,NPR-2879;NPR-44845;NPR-46148;NPR-46857;NPR-47842
Paul Taylor,True,no,,False,False,17,5,3945,2000-10-28,2016-12-24,5901.0,8,11,0.4117647058823529,unchecked,1,MR,NPR-9791;NPR-12807;NPR-19806;NPR-29017;NPR-31436
Jeffrey Hangst,True,no,,False,False,3,3,3908,2010-11-19,2013-05-03,896.0,3,1,1.0,unchecked,0,DR,NPR-1801;NPR-3576;NPR-8785
Michael Mcdonald,True,no,,False,False,34,4,3900,2008-10-31,2020-09-10,4332.0,29,17,0.20588235294117646,unchecked,0,DR,NPR-18071;NPR-18508;NPR-20030;NPR-20499;NPR-22779
Kathleen Hall Jamieson,True,no,,False,False,22,3,3890,2005-07-27,2020-07-30,5482.0,12,14,0.2727272727272727,unchecked,0,MS,NPR-2720;NPR-2829;NPR-10561;NPR-20343;NPR-22520
Karen Weaver,True,no,,False,False,24,3,3886,2015-12-18,2019-07-30,1320.0,24,11,0.20833333333333334,unchecked,0,MAYOR,NPR-17854;NPR-19020;NPR-20455;NPR-23011;NPR-23309
Simone Campbell,True,no,,False,False,26,4,3880,2012-02-14,2018-08-25,2384.0,9,12,0.15384615384615385,unchecked,0,SISTER,NPR-10207;NPR-12441;NPR-12912;NPR-31785;CNN-149195
Andra Gillespie,True,no,,False,False,11,3,3874,2011-11-07,2019-06-15,2777.0,10,6,0.45454545454545453,unchecked,0,,NPR-855;NPR-2683;NPR-10180;NPR-25620;NPR-27714
Gabrielle Giffords,True,no,,False,False,96,3,3856,2006-10-08,2020-08-21,5066.0,40,22,0.13541666666666666,unchecked,0,CONGRESSWOMAN;MS;REP;REPRESENTATIVE,NPR-598;NPR-783;NPR-3115;NPR-9667;NPR-13638
Paul Glastris,True,no,,False,False,9,6,3851,2011-01-12,2017-01-19,2199.0,7,4,0.6666666666666666,unchecked,0,MR,NPR-2954;NPR-3106;NPR-6620;NPR-8353;NPR-9504
Danielle Belton,True,no,,False,False,18,6,3838,2011-10-23,2018-04-21,2372.0,13,4,0.4444444444444444,unchecked,0,,NPR-15674;NPR-19191;NPR-19870;NPR-20211;NPR-20556
Meri Nana-Ama Danquah,True,no,,False,False,7,7,3836,2006-08-28,2008-02-26,547.0,7,1,1.0,unchecked,0,MS,NPR-1289;NPR-2139;NPR-2187;NPR-2271;NPR-2605
Al Faisal,True,no,,False,False,10,3,3822,2002-12-16,2018-11-27,5825.0,5,8,0.0,unchecked,0,,CNN-48413;CNN-48414;CNN-48475;CNN-64307;CNN-119802
Helene Gayle,True,no,,False,False,19,3,3791,2006-01-13,2015-04-26,3390.0,7,14,0.2631578947368421,unchecked,0,DR,NPR-4216;NPR-7376;NPR-26778;NPR-35588;NPR-45997
Jeffrey Lewis,True,no,,False,False,39,4,3785,2006-03-23,2020-10-18,5323.0,36,12,0.1794871794871795,unchecked,1,DR;MR;PROFESSOR,NPR-5624;NPR-18818;NPR-29839;NPR-39087;NPR-46971
David Winston,True,no,,False,False,37,5,3779,2004-11-22,2019-01-24,5176.0,12,16,0.21621621621621623,unchecked,0,MR,NPR-1009;NPR-2545;NPR-16660;NPR-19595;NPR-26504
Robert Shiller,True,no,,False,False,33,3,3776,2006-05-23,2019-11-24,4933.0,11,14,0.12121212121212122,unchecked,0,PROF;PROFESSOR,NPR-9892;NPR-18203;NPR-25022;NPR-47707;CNN-6486
Lee Gelernt,True,no,,False,False,37,3,3758,2017-02-10,2020-10-21,1349.0,37,9,0.1891891891891892,unchecked,0,,NPR-2858;NPR-5659;NPR-8618;NPR-9589;NPR-15953
Di Stefano,True,no,,False,False,10,5,3755,,,,0,8,0.0,unchecked,0,,CNN-94691;CNN-94699;CNN-94703;CNN-94748;CNN-95018
Peter Sokolowski,True,no,,False,False,5,4,3740,2013-03-14,2017-12-25,1747.0,5,4,1.0,unchecked,0,,NPR-42;NPR-9277;NPR-29149;NPR-47564;NPR-49392
Hank Croslin,True,no,,False,False,32,4,3725,,,,0,2,0.0,unchecked,0,,CNN-147688;CNN-147738;CNN-147777;CNN-147939;CNN-148010
Victor Davis Hanson,True,no,,False,False,8,3,3715,2006-01-24,2017-11-21,4319.0,5,5,0.375,unchecked,0,MR;PROFESSOR,NPR-16427;NPR-17286;NPR-18621;CNN-73146;CNN-88448
Mike Coffman,True,no,,False,False,60,3,3693,2014-06-21,2018-11-17,1610.0,55,18,0.08333333333333333,unchecked,0,REP;REPRESENTATIVE;SEN,NPR-2064;NPR-2203;NPR-6683;NPR-11057;NPR-16156
Bill Gross,True,no,,False,False,25,3,3653,2009-03-23,2019-11-26,3900.0,9,13,0.16,unchecked,0,MR,NPR-26171;NPR-32688;NPR-37281;NPR-45892;CNN-2256
Robert Barnett,True,no,,False,False,14,4,3633,2006-09-20,2019-12-20,4839.0,9,10,0.2857142857142857,unchecked,0,DR;PROFESSOR,NPR-6424;NPR-27890;NPR-40228;NPR-41854;CNN-36505
Joe Freeman,True,no,,False,False,4,4,3622,2005-09-05,2007-08-28,722.0,4,1,1.0,unchecked,0,DR,NPR-925;NPR-45464;NPR-46882;NPR-47033
Stephanie Sinclair,True,no,,False,False,4,3,3615,2010-02-17,2017-01-29,2538.0,3,3,0.75,unchecked,0,MS,NPR-607;NPR-13076;NPR-45585;CNN-190487
Clayborne Carson,True,no,,False,False,10,3,3605,2005-12-05,2018-08-28,4649.0,10,5,0.5,unchecked,0,MR;PROFESSOR,NPR-4524;NPR-7335;NPR-9751;NPR-39938;NPR-45136
Josh Gottheimer,True,no,,False,False,24,4,3586,2016-10-26,2020-10-17,1452.0,20,10,0.25,unchecked,0,REP;REPRESENTATIVE,NPR-5491;NPR-5625;NPR-13192;NPR-15680;NPR-16857
Michael Mccann,True,no,,False,False,38,3,3584,2006-06-15,2019-10-01,4856.0,21,20,0.15789473684210525,unchecked,0,MR,NPR-4593;NPR-4976;NPR-9746;NPR-9922;NPR-26507
Robert Daly,True,no,,False,False,13,5,3566,2015-11-05,2019-08-06,1370.0,13,5,0.38461538461538464,unchecked,0,,NPR-9419;NPR-13896;NPR-17223;NPR-17570;NPR-18104
Ramez Maluf,True,no,,False,False,7,6,3548,2005-06-09,2010-09-02,1911.0,7,1,1.0,unchecked,0,PROFESSOR,NPR-31007;NPR-33791;NPR-38293;NPR-38751;NPR-40188
Timothy Snyder,True,no,,False,False,15,3,3545,2014-02-21,2020-09-11,2394.0,15,4,0.2,unchecked,0,,NPR-22273;NPR-24052;NPR-27814;CNN-306580;CNN-336707
Michael Oppenheimer,True,no,,False,False,17,3,3542,2000-10-26,2019-08-30,6882.0,13,12,0.29411764705882354,unchecked,0,DR,NPR-3514;NPR-3759;NPR-4463;NPR-32297;NPR-41524
Glen Loury,True,no,,False,False,6,6,3482,2005-09-19,2006-11-28,435.0,6,1,1.0,unchecked,0,MR;PROFESSOR,NPR-3087;NPR-3303;NPR-3797;NPR-45193;NPR-45253
Matthew Yglesias,True,no,,False,False,8,7,3482,2017-05-12,2019-08-16,826.0,8,1,1.0,unchecked,0,,NPR-391;NPR-6447;NPR-13451;NPR-13942;NPR-17945
James Bamford,True,no,,False,False,47,3,3468,2004-10-15,2019-02-12,5233.0,16,25,0.0851063829787234,unchecked,0,MR,NPR-17767;NPR-24588;NPR-39807;NPR-42995;CNN-3445
Liz Sly,True,no,,False,False,8,5,3464,2011-10-26,2018-06-27,2436.0,8,5,0.625,unchecked,0,,NPR-69;NPR-1085;NPR-4881;NPR-19138;NPR-21264
Tammy Baldwin,True,no,,False,False,47,4,3455,2007-10-31,2020-09-23,4711.0,38,14,0.06382978723404255,unchecked,0,REP;REPRESENTATIVE;SEN;SENATOR,NPR-19279;NPR-23051;NPR-36258;CNN-86944;CNN-116566
Ann Selzer,True,no,,False,False,4,4,3436,2007-12-15,2019-09-29,4306.0,4,3,1.0,unchecked,0,MS,NPR-490;NPR-1502;NPR-7781;NPR-17711
Jessica Mendoza,True,no,,False,False,9,6,3432,2015-10-10,2018-10-23,1109.0,9,3,0.7777777777777778,unchecked,1,,NPR-2850;NPR-4418;NPR-14597;NPR-19780;NPR-20795
Bill Mckibben,True,no,,False,False,14,3,3414,2010-04-16,2020-03-03,3609.0,14,4,0.42857142857142855,unchecked,0,MR,NPR-4288;NPR-4412;NPR-10738;NPR-23692;NPR-29826
Sheila Bair,True,no,,False,False,36,3,3414,2008-07-15,2020-04-16,4293.0,20,12,0.2222222222222222,unchecked,0,MS,NPR-4152;NPR-34225;NPR-34848;NPR-35856;NPR-38502
Matthew Kroenig,True,no,,False,False,15,3,3400,2011-12-28,2019-01-06,2566.0,14,6,0.2,unchecked,0,,NPR-8791;NPR-11032;NPR-12784;CNN-178432;CNN-178436
Amy Howe,True,no,,False,False,10,5,3382,2010-04-07,2020-09-26,3825.0,8,7,0.5,unchecked,0,MS,NPR-132;NPR-1706;NPR-22255;NPR-45206;NPR-45669
Tim Kane,True,no,,False,False,9,3,3363,2005-05-02,2011-01-13,2082.0,4,8,0.3333333333333333,unchecked,0,DR;MR,NPR-3042;NPR-3121;NPR-48225;CNN-89532;CNN-89539
Andrew Bacevich,True,no,,False,False,9,3,3360,2009-07-22,2019-08-27,3688.0,6,8,0.4444444444444444,unchecked,0,COL;PROFESSOR,NPR-9044;NPR-9262;NPR-13175;NPR-46659;CNN-140612
Shaun Walker,True,no,,False,False,9,5,3358,2017-04-04,2019-07-30,847.0,5,6,0.5555555555555556,unchecked,0,,NPR-9625;NPR-15173;NPR-15417;NPR-46394;NPR-47674
Ali Vaez,True,no,,False,False,28,3,3327,2013-05-24,2020-02-23,2466.0,28,6,0.6428571428571429,unchecked,0,,NPR-2505;NPR-3740;NPR-5593;NPR-8519;NPR-12099
Suleika Jaouad,True,no,,False,False,4,3,3326,2012-10-19,2013-06-12,236.0,4,2,1.0,unchecked,0,,NPR-8350;NPR-9533;NPR-10147;NPR-30649
Matthew Continetti,True,no,,False,False,14,6,3318,2007-04-01,2015-12-11,3176.0,11,8,0.5,unchecked,0,MR,NPR-14207;NPR-30221;NPR-39190;NPR-40607;NPR-41274
Princeton Lyman,True,no,,False,False,8,3,3308,2005-08-23,2012-04-30,2442.0,4,7,0.5,unchecked,0,AMBASSADOR;MR,NPR-2151;NPR-11220;NPR-47149;NPR-48882;CNN-74044
Steven Petrow,True,no,,False,False,7,7,3304,2015-11-21,2019-09-01,1380.0,7,1,1.0,unchecked,0,,NPR-8962;NPR-14760;NPR-16631;NPR-18955;NPR-20211
Don Pettit,True,no,,False,False,6,3,3299,2003-10-17,2012-12-07,3339.0,4,3,0.5,unchecked,0,,NPR-9993;NPR-10654;NPR-12495;CNN-70248;CNN-78170
De Hoop Scheffer,True,no,,False,False,8,4,3275,2006-10-27,2007-11-23,392.0,2,6,0.0,unchecked,0,,CNN-81606;CNN-92334;CNN-95071;CNN-104099;CNN-110494
Michael Thompson,True,no,,False,False,13,3,3268,2009-12-06,2019-08-10,3534.0,5,10,0.38461538461538464,unchecked,1,CAPT;MR,NPR-1554;NPR-5378;NPR-8541;NPR-27354;NPR-36291
William Frey,True,no,,False,False,16,4,3265,2006-03-14,2020-05-03,5164.0,12,11,0.4375,unchecked,0,DR;MR,NPR-2242;NPR-20331;NPR-29927;NPR-34162;NPR-41978
Alan Feuer,True,no,,False,False,3,3,3254,2012-05-08,2019-02-03,2462.0,3,2,1.0,unchecked,0,,NPR-796;NPR-5310;NPR-11161
Reuel Marc Gerecht,True,no,,False,False,35,3,3238,2003-10-24,2020-01-12,5924.0,14,16,0.08571428571428572,unchecked,0,MR,NPR-42398;NPR-42956;NPR-43264;CNN-16083;CNN-76023
Tim Wu,True,no,,False,False,7,4,3234,2006-11-06,2019-01-17,4455.0,7,5,0.5714285714285714,unchecked,0,MR,NPR-5681;NPR-17291;NPR-27486;NPR-46250;CNN-341345
Del Ponte,True,no,,False,False,7,3,3229,,,,0,7,0.0,unchecked,0,,CNN-29191;CNN-29195;CNN-33679;CNN-33730;CNN-51135
Chuck Cox,True,no,,False,False,29,4,3228,2009-12-14,2011-12-30,746.0,6,5,0.0,unchecked,0,,CNN-146053;CNN-146126;CNN-146271;CNN-146744;CNN-147647
Harry Jackson,True,no,,False,False,10,3,3218,2006-11-03,2015-06-18,3149.0,5,7,0.4,unchecked,0,BISHOP;PASTOR,NPR-1901;NPR-3319;NPR-12862;NPR-36806;CNN-115887
